episodes,score,discounted_score
0,2.2760,0.3023
100,2.5600,0.3221
200,2.6290,0.3080
300,2.4910,0.3363
400,2.3270,0.3086
500,2.8190,0.3918
600,2.5350,0.3720
700,2.5090,0.3159
800,2.5420,0.3426
900,2.3600,0.3353
1000,2.6840,0.3525
1100,2.6150,0.3667
1200,2.9390,0.3839
1300,2.8010,0.4123
1400,2.4470,0.3007
1500,3.1100,0.3823
1600,2.8260,0.3625
1700,2.3270,0.3086
1800,2.6370,0.3845
1900,2.3020,0.3584
2000,2.5420,0.3426
2100,2.7350,0.3588
2200,2.8410,0.4096
2300,2.3780,0.3148
2400,2.6440,0.3552
2500,2.7170,0.3793
2600,2.5930,0.3489
2700,2.8480,0.3803
2800,2.4580,0.3096
2900,2.6770,0.3819
3000,2.7530,0.3384
3100,2.7170,0.3793
3200,2.5020,0.3452
3300,2.5640,0.3604
3400,2.8480,0.3803
3500,2.6880,0.3908
3600,2.7820,0.3268
3700,2.5490,0.3132
3800,2.6290,0.3080
3900,2.8920,0.4159
4000,2.9540,0.4311
4100,2.4330,0.3594
4200,2.6510,0.3258
4300,2.5640,0.3604
4400,2.1850,0.2986
4500,2.1450,0.3013
4600,3.1900,0.3771
4700,2.5860,0.3782
4800,2.7570,0.3766
4900,2.3270,0.3086
5000,2.3310,0.3468
5100,2.7280,0.3882
5200,2.8480,0.3803
5300,3.0480,0.3671
5400,2.2110,0.3547
5500,2.7200,0.3116
5600,3.0700,0.3850
5700,3.1720,0.3975
5800,2.6040,0.3578
5900,2.6260,0.3756
6000,2.9060,0.3572
6100,3.2160,0.4332
6200,3.1610,0.3886
6300,2.6550,0.3641
6400,2.6080,0.3961
6500,2.6150,0.3667
6600,3.0190,0.3787
6700,2.7530,0.3384
6800,2.6110,0.3284
6900,2.1920,0.2693
7000,2.6730,0.3436
7100,2.8080,0.3829
7200,3.0520,0.4054
7300,2.8480,0.3803
7400,3.1250,0.4295
7500,2.9720,0.4107
7600,2.7830,0.4327
7700,3.2630,0.4012
7800,2.6400,0.3169
7900,2.7170,0.3793
8000,3.1030,0.4117
8100,2.7790,0.3945
8200,2.8300,0.4007
8300,3.4490,0.4467
8400,2.2140,0.2871
8500,2.7350,0.3588
8600,2.6080,0.3961
8700,2.9100,0.3955
8800,3.1540,0.4180
8900,3.2050,0.4242
9000,2.7570,0.3766
9100,2.6080,0.3961
9200,2.9030,0.4248
9300,3.0010,0.3991
9400,3.1760,0.4358
9500,3.5000,0.4530
9600,3.1250,0.4295
9700,3.1800,0.4741
9800,2.8370,0.3714
9900,3.5290,0.4415
10000,3.3470,0.4342
10100,3.0450,0.4348
10200,2.9760,0.4489
10300,3.0340,0.4259
10400,3.0920,0.4028
10500,2.8840,0.3394
10600,2.8700,0.3981
10700,2.7570,0.3766
10800,3.2120,0.3949
10900,2.8590,0.3892
11000,3.2740,0.4101
11100,3.2890,0.4573
11200,2.6840,0.3525
11300,2.9100,0.3955
11400,2.9390,0.3839
11500,3.1210,0.3912
11600,3.0270,0.4552
11700,3.0560,0.4437
11800,2.9610,0.4018
11900,2.7860,0.3651
12000,3.2340,0.4127
12100,3.3140,0.4075
12200,3.0300,0.3876
12300,3.0630,0.4143
12400,2.8630,0.4275
12500,2.8990,0.3866
12600,3.1250,0.4295
12700,3.0380,0.4641
12800,3.0010,0.3991
12900,2.5790,0.4076
13000,3.0080,0.3698
13100,3.1030,0.4117
13200,3.0520,0.4054
13300,3.4670,0.4263
13400,2.9720,0.4107
13500,3.0340,0.4259
13600,2.8810,0.4070
13700,3.0450,0.4348
13800,3.1430,0.4091
13900,2.8190,0.3918
14000,2.9210,0.4044
14100,2.4260,0.3888
14200,3.1470,0.4473
14300,2.9790,0.3813
14400,3.2670,0.4394
14500,2.8850,0.4453
14600,3.1830,0.4064
14700,2.8590,0.3892
14800,2.7970,0.3740
14900,3.3800,0.4609
15000,2.9210,0.4044
15100,3.4890,0.4441
15200,2.9360,0.4516
15300,3.4710,0.4646
15400,2.8920,0.4159
15500,3.5110,0.4619
15600,3.2050,0.4242
15700,3.1140,0.4206
15800,3.0340,0.4259
15900,3.2270,0.4421
16000,3.1070,0.4500
16100,3.2960,0.4279
16200,3.4200,0.4583
16300,3.2380,0.4510
16400,3.1550,0.5239
16500,3.5580,0.4299
16600,2.7750,0.3562
16700,3.5620,0.4682
16800,3.3800,0.4609
16900,3.1980,0.4536
17000,3.6970,0.5075
17100,3.0450,0.4348
17200,3.3910,0.4698
17300,3.7110,0.4488
17400,3.1650,0.4269
17500,3.4530,0.4850
17600,3.3910,0.4698
17700,3.1180,0.4589
17800,2.9620,0.5077
17900,3.3290,0.4546
18000,3.3330,0.4929
18100,3.6350,0.4923
18200,3.2560,0.4305
18300,3.3690,0.4520
18400,3.1910,0.4830
18500,3.6240,0.4834
18600,3.2600,0.4688
18700,3.2270,0.4421
18800,3.4160,0.4200
18900,3.4710,0.4646
19000,3.5110,0.4619
19100,3.4640,0.4939
19200,3.2050,0.4242
19300,2.9140,0.4337
19400,3.8900,0.5237
19500,3.2930,0.4955
19600,3.1290,0.4678
19700,3.5730,0.4771
19800,3.2270,0.4421
19900,3.5440,0.4887
20000,3.3400,0.4635
20100,3.4240,0.4966
20200,3.2420,0.4892
20300,3.1360,0.4384
20400,3.2780,0.4483
20500,3.5840,0.4860
20600,3.6530,0.4719
20700,2.9500,0.3928
20800,3.3690,0.4520
20900,3.7370,0.5049
21000,3.2200,0.4714
21100,3.3690,0.4520
21200,3.7110,0.4488
21300,3.3510,0.4725
21400,3.5440,0.4887
21500,3.4490,0.4467
21600,3.7950,0.4818
21700,3.5220,0.4708
21800,3.3660,0.5196
21900,3.3180,0.4457
22000,3.6280,0.5217
22100,3.7190,0.5253
22200,3.3730,0.4903
22300,3.4750,0.5028
22400,3.3620,0.4814
22500,3.6820,0.4603
22600,3.9590,0.5096
22700,3.4780,0.4352
22800,3.7080,0.5164
22900,3.1580,0.4562
23000,3.2200,0.4714
23100,3.1940,0.4153
23200,3.3110,0.4751
23300,3.8570,0.4970
23400,3.7260,0.4960
23500,3.3840,0.4992
23600,4.0210,0.5247
23700,3.5150,0.5002
23800,3.4420,0.4761
23900,3.0670,0.4526
24000,4.0430,0.5426
24100,3.7370,0.5049
24200,3.7950,0.4818
24300,3.5440,0.4887
24400,3.6100,0.5421
24500,3.5260,0.5091
24600,3.7480,0.5138
24700,3.7300,0.5342
24800,3.4710,0.4646
24900,3.6570,0.5101
25000,3.3690,0.4520
25100,3.4930,0.4824
25200,3.7700,0.5316
25300,3.6530,0.4719
25400,3.8970,0.4944
25500,3.6680,0.5190
25600,3.8100,0.5290
25700,3.4640,0.4939
25800,3.1620,0.4945
25900,4.0900,0.5106
26000,3.6900,0.5369
26100,4.0970,0.4812
26200,3.6820,0.4603
26300,3.7150,0.4871
26400,3.5840,0.4860
26500,4.1630,0.5347
