episodes,score,discounted_score
0,2.7060,2.7060
100,2.7350,2.7350
200,2.7860,2.7860
300,2.5200,2.5200
400,2.6510,2.6510
500,2.5930,2.5930
600,2.5890,2.5890
700,2.4180,2.4180
800,2.1560,2.1560
900,2.5820,2.5820
1000,2.9940,2.9940
1100,3.0630,3.0630
1200,2.7060,2.7060
1300,2.6040,2.6040
1400,2.6040,2.6040
1500,3.0300,3.0300
1600,2.7860,2.7860
1700,2.1490,2.1490
1800,2.7100,2.7100
1900,2.6080,2.6080
2000,2.9280,2.9280
2100,2.2980,2.2980
2200,2.7970,2.7970
2300,2.4000,2.4000
2400,3.0590,3.0590
2500,2.9170,2.9170
2600,2.7530,2.7530
2700,2.5640,2.5640
2800,2.7680,2.7680
2900,2.5710,2.5710
3000,2.8850,2.8850
3100,2.5420,2.5420
3200,2.7020,2.7020
3300,2.6950,2.6950
3400,2.7310,2.7310
3500,3.2890,3.2890
3600,3.0010,3.0010
3700,2.8370,2.8370
3800,2.5640,2.5640
3900,2.1960,2.1960
4000,2.7570,2.7570
4100,2.9640,2.9640
4200,2.3710,2.3710
4300,2.5750,2.5750
4400,2.6840,2.6840
4500,2.7790,2.7790
4600,2.6220,2.6220
4700,2.0760,2.0760
4800,2.7750,2.7750
4900,2.5860,2.5860
5000,2.3600,2.3600
5100,2.7350,2.7350
5200,3.0410,3.0410
5300,2.7680,2.7680
5400,2.7680,2.7680
5500,2.4110,2.4110
5600,2.8770,2.8770
5700,2.7500,2.7500
5800,2.8370,2.8370
5900,2.2540,2.2540
6000,2.4950,2.4950
6100,2.7390,2.7390
6200,2.9280,2.9280
6300,2.8330,2.8330
6400,2.7750,2.7750
6500,2.9650,2.9650
6600,2.6590,2.6590
6700,2.8660,2.8660
6800,2.8370,2.8370
6900,2.8370,2.8370
7000,2.7790,2.7790
7100,3.1070,3.1070
7200,2.8950,2.8950
7300,3.2120,3.2120
7400,2.7750,2.7750
7500,2.7860,2.7860
7600,2.9280,2.9280
7700,3.1140,3.1140
7800,2.5820,2.5820
7900,2.4650,2.4650
8000,2.8700,2.8700
8100,2.8810,2.8810
8200,2.7100,2.7100
8300,2.9680,2.9680
8400,2.2360,2.2360
8500,2.8880,2.8880
8600,2.9790,2.9790
8700,2.6480,2.6480
8800,2.9170,2.9170
8900,2.9540,2.9540
9000,2.7280,2.7280
9100,2.6440,2.6440
9200,3.0700,3.0700
9300,3.1830,3.1830
9400,3.3360,3.3360
9500,3.0410,3.0410
9600,3.0080,3.0080
9700,2.9460,2.9460
9800,2.9280,2.9280
9900,2.8770,2.8770
10000,2.7720,2.7720
10100,3.0630,3.0630
10200,2.8990,2.8990
10300,2.8080,2.8080
10400,2.9610,2.9610
10500,2.9790,2.9790
10600,3.0190,3.0190
10700,2.7280,2.7280
10800,3.2630,3.2630
10900,2.8660,2.8660
11000,3.2630,3.2630
11100,2.6620,2.6620
11200,2.9320,2.9320
11300,2.6620,2.6620
11400,3.1140,3.1140
11500,3.0190,3.0190
11600,3.3360,3.3360
11700,3.0740,3.0740
11800,2.7720,2.7720
11900,3.0670,3.0670
12000,3.4090,3.4090
12100,2.6990,2.6990
12200,2.9500,2.9500
12300,2.6550,2.6550
12400,2.6400,2.6400
12500,3.5220,3.5220
12600,2.8260,2.8260
12700,2.8810,2.8810
12800,2.9680,2.9680
12900,2.7350,2.7350
13000,3.0190,3.0190
13100,2.5860,2.5860
13200,2.9610,2.9610
13300,3.0740,3.0740
13400,3.0300,3.0300
13500,2.6660,2.6660
13600,2.6370,2.6370
13700,3.1830,3.1830
13800,2.8810,2.8810
13900,2.9170,2.9170
14000,3.5150,3.5150
14100,3.3250,3.3250
14200,3.0630,3.0630
14300,2.4620,2.4620
14400,3.1940,3.1940
14500,3.2960,3.2960
14600,3.2490,3.2490
14700,3.0480,3.0480
